timestamp,temperature_c,pressure_hpa,humidity_pct,wind_speed_ms,rainfall_mm,extreme_event
2023-01-01 00:00:00,15.61,1005.17,55.1,2.69,0.01,0
2023-01-01 01:00:00,12.93,1016.19,65.8,0.1,0.4,0
2023-01-01 02:00:00,16.52,1010.31,53.4,5.78,0.47,0
2023-01-01 03:00:00,16.9,1018.74,48.4,4.89,0.1,0
2023-01-01 04:00:00,11.13,1001.03,65.7,4.34,0.1,0
2023-01-01 05:00:00,12.43,975.53,67.7,10.45,22.89,1
2023-01-01 06:00:00,15.3,1004.57,55.9,5.44,0.28,0
2023-01-01 07:00:00,14.42,1008.87,69.3,2.02,0.5,0
2023-01-01 08:00:00,15.02,1014.24,45.6,3.67,1.69,0
2023-01-01 09:00:00,13.36,1012.1,49.0,3.65,0.13,0
2023-01-01 10:00:00,16.83,1011.73,40.9,1.6,0.5,0
2023-01-01 11:00:00,16.63,1012.2,51.8,1.33,0.26,0
2023-01-01 12:00:00,15.22,1014.02,46.0,0.68,0.46,0
2023-01-01 13:00:00,17.35,1007.96,60.4,3.96,0.68,0
2023-01-01 14:00:00,16.04,1016.53,45.4,4.69,0.24,0
2023-01-01 15:00:00,13.39,1016.31,60.2,4.57,0.04,0
2023-01-01 16:00:00,15.85,1014.93,47.9,1.9,0.75,0
2023-01-01 17:00:00,13.2,1015.78,50.7,1.23,0.37,0
2023-01-01 18:00:00,16.89,1014.48,50.5,2.72,1.15,0
2023-01-01 19:00:00,15.04,1023.18,61.5,3.28,0.1,0
2023-01-01 20:00:00,14.77,1012.56,54.0,5.51,0.07,0
2023-01-01 21:00:00,13.79,1011.46,50.8,5.25,0.09,0
2023-01-01 22:00:00,17.6,1009.23,65.6,5.5,2.04,0
2023-01-01 23:00:00,14.86,1007.84,57.2,5.1,0.92,0
2023-01-02 00:00:00,14.32,1006.78,46.4,5.79,0.15,0
2023-01-02 01:00:00,14.48,1008.56,67.0,2.79,0.18,0
2023-01-02 02:00:00,16.25,1012.65,50.3,0.28,0.49,0
2023-01-02 03:00:00,15.92,1014.67,41.2,0.5,0.28,0
2023-01-02 04:00:00,16.03,1013.26,54.8,2.34,0.17,0
2023-01-02 05:00:00,16.07,1009.17,43.7,1.55,0.2,0
2023-01-02 06:00:00,19.5,1017.5,47.2,1.02,1.04,0
2023-01-02 07:00:00,14.41,1016.7,62.4,5.72,0.56,0
2023-01-02 08:00:00,14.21,1012.2,43.9,1.17,1.04,0
2023-01-02 09:00:00,13.61,1009.74,64.2,5.76,1.33,0
2023-01-02 10:00:00,16.48,1015.74,68.1,4.57,0.53,0
2023-01-02 11:00:00,17.51,1013.94,58.2,3.85,0.49,0
2023-01-02 12:00:00,15.03,1005.76,61.3,4.06,0.08,0
2023-01-02 13:00:00,13.59,986.5,89.1,11.14,15.73,1
2023-01-02 14:00:00,13.62,1014.31,69.8,3.88,0.18,0
2023-01-02 15:00:00,16.58,1008.5,50.2,1.12,1.24,0
2023-01-02 16:00:00,16.77,1013.95,44.9,5.63,0.16,0
2023-01-02 17:00:00,16.38,1005.73,55.6,1.81,0.2,0
2023-01-02 18:00:00,13.97,1019.68,56.0,1.53,1.27,0
2023-01-02 19:00:00,15.77,1019.24,45.3,4.27,1.95,0
2023-01-02 20:00:00,15.55,1011.74,58.4,3.94,0.5,0
2023-01-02 21:00:00,15.76,1014.82,40.4,2.71,0.41,0
2023-01-02 22:00:00,17.07,1000.95,67.8,3.79,0.17,0
2023-01-02 23:00:00,15.78,1007.22,47.9,0.96,0.73,0
2023-01-03 00:00:00,16.7,1011.53,41.2,4.04,0.35,0
2023-01-03 01:00:00,15.49,1007.64,43.2,1.62,0.38,0
2023-01-03 02:00:00,15.94,1016.57,47.2,1.64,0.33,0
2023-01-03 03:00:00,16.63,1022.99,48.2,0.97,0.32,0
2023-01-03 04:00:00,12.46,1007.12,41.0,1.99,0.17,0
2023-01-03 05:00:00,14.74,1008.81,48.4,1.99,2.1,0
2023-01-03 06:00:00,14.45,1014.18,45.8,2.73,0.67,0
2023-01-03 07:00:00,14.12,1021.06,51.4,1.14,2.03,0
2023-01-03 08:00:00,14.85,1006.89,51.6,1.16,2.26,0
2023-01-03 09:00:00,18.4,984.24,74.3,10.6,45.41,1
2023-01-03 10:00:00,13.68,1022.11,49.8,0.77,0.33,0
2023-01-03 11:00:00,17.36,1004.74,42.7,4.13,0.76,0
2023-01-03 12:00:00,12.06,1006.59,40.8,5.66,0.2,0
2023-01-03 13:00:00,14.77,1010.88,46.1,2.56,1.28,0
2023-01-03 14:00:00,15.77,1010.4,62.7,5.41,0.32,0
2023-01-03 15:00:00,16.62,1017.06,69.7,0.59,0.22,0
2023-01-03 16:00:00,16.88,1014.21,67.9,0.26,0.27,0
2023-01-03 17:00:00,17.05,1004.13,55.1,4.33,0.04,0
2023-01-03 18:00:00,14.78,1015.58,56.0,4.57,0.18,0
2023-01-03 19:00:00,14.56,1010.11,49.4,5.06,2.03,0
2023-01-03 20:00:00,17.2,1019.37,63.2,0.34,0.27,0
2023-01-03 21:00:00,15.11,1009.86,62.9,4.66,0.24,0
2023-01-03 22:00:00,12.95,978.09,83.2,6.98,31.38,1
2023-01-03 23:00:00,13.24,1015.71,66.9,1.82,0.43,0
2023-01-04 00:00:00,13.68,983.94,67.4,12.6,11.21,1
2023-01-04 01:00:00,16.52,1015.24,63.0,5.98,0.54,0
2023-01-04 02:00:00,15.82,1004.57,64.2,0.38,0.06,0
2023-01-04 03:00:00,16.92,986.52,69.6,7.91,12.07,1
2023-01-04 04:00:00,14.69,979.61,76.6,13.82,40.24,1
2023-01-04 05:00:00,15.87,981.69,72.2,12.29,24.0,1
2023-01-04 06:00:00,16.81,972.87,84.9,12.99,25.57,1
2023-01-04 07:00:00,14.95,1015.23,63.1,5.15,0.22,0
2023-01-04 08:00:00,16.49,1008.97,42.8,1.1,0.54,0
2023-01-04 09:00:00,14.26,1006.59,59.7,0.0,1.11,0
2023-01-04 10:00:00,14.86,1016.57,41.0,3.59,0.09,0
2023-01-04 11:00:00,14.83,1014.21,63.1,2.12,0.24,0
2023-01-04 12:00:00,13.21,1009.93,64.0,0.74,0.06,0
2023-01-04 13:00:00,16.58,1020.26,58.1,1.12,0.01,0
2023-01-04 14:00:00,14.68,1010.8,65.7,1.99,0.09,0
2023-01-04 15:00:00,15.65,1013.16,42.9,0.42,0.5,0
2023-01-04 16:00:00,16.59,1014.34,48.3,0.34,0.4,0
2023-01-04 17:00:00,16.53,1009.9,52.4,5.5,0.26,0
2023-01-04 18:00:00,16.98,982.61,65.9,7.26,12.29,1
2023-01-04 19:00:00,15.46,984.98,69.0,13.41,18.51,1
2023-01-04 20:00:00,14.81,979.42,81.0,8.97,46.33,1
2023-01-04 21:00:00,15.51,986.58,84.6,8.94,45.6,1
2023-01-04 22:00:00,12.3,1007.8,52.8,4.29,0.32,0
2023-01-04 23:00:00,12.79,1000.94,66.4,3.6,0.02,0
2023-01-05 00:00:00,13.04,1021.05,48.1,4.14,0.27,0
2023-01-05 01:00:00,13.7,1025.75,66.8,0.58,0.98,0
2023-01-05 02:00:00,16.5,1010.97,52.8,1.13,0.46,0
2023-01-05 03:00:00,13.9,1003.32,49.8,0.46,2.28,0
2023-01-05 04:00:00,14.96,1011.45,55.1,3.62,0.5,0
2023-01-05 05:00:00,18.32,1011.57,52.5,5.92,0.82,0
